"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 22:38:12 GMT 2024","Thu Nov 28 22:38:18 GMT 2024","6396","chromium","unilab/UI/desktop/cart.spec.ts","","","","Удалить мед. услугу в корзине",""
"passed","Thu Nov 28 22:38:42 GMT 2024","Thu Nov 28 22:38:48 GMT 2024","6660","chromium","unilab/UI/desktop/collection.spec.ts","","","","Переключение табов на странице мед услуг",""
"passed","Thu Nov 28 22:39:15 GMT 2024","Thu Nov 28 22:39:20 GMT 2024","5033","chromium","unilab/UI/desktop/header.spec.ts","","","","Анимация изменения ширины поля ввода поиска при фокусе в десктопной версии",""
"passed","Thu Nov 28 22:46:21 GMT 2024","Thu Nov 28 22:46:27 GMT 2024","5369","Google Chrome","unilab/UI/desktop/product.spec.ts","","","","Переключение табов на странице карточки анализы",""
"passed","Thu Nov 28 22:42:04 GMT 2024","Thu Nov 28 22:42:09 GMT 2024","4725","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Поиск города в мобильной версии",""
"passed","Thu Nov 28 22:39:56 GMT 2024","Thu Nov 28 22:40:01 GMT 2024","5680","chromium","unilab/UI/desktop/header.spec.ts","","","","негативное Отображение попапа результатов поиска",""
"passed","Thu Nov 28 22:47:49 GMT 2024","Thu Nov 28 22:47:54 GMT 2024","5437","Google Chrome","unilab/UI/mobile/headerMobile.spec.ts","","","","Выбор города в мобильной версии",""
"failed","Thu Nov 28 22:47:35 GMT 2024","Thu Nov 28 22:47:43 GMT 2024","8624","Google Chrome","unilab/UI/mobile/headerMobile.spec.ts","","","","Анимация изменения ширины поля ввода поиска при фокусе в мобильной версии",""
"passed","Thu Nov 28 22:44:43 GMT 2024","Thu Nov 28 22:44:47 GMT 2024","3800","Google Chrome","unilab/UI/desktop/header.spec.ts","","","","Скрытие попапа при клике на оверлей",""
"passed","Thu Nov 28 22:47:44 GMT 2024","Thu Nov 28 22:47:49 GMT 2024","4801","Google Chrome","unilab/UI/mobile/headerMobile.spec.ts","","","","Отображение меню выбора города в мобильной версии",""
"passed","Thu Nov 28 22:42:19 GMT 2024","Thu Nov 28 22:42:24 GMT 2024","4946","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","негативное Отображение попапа результатов поиска",""
"passed","Thu Nov 28 22:47:11 GMT 2024","Thu Nov 28 22:47:15 GMT 2024","3694","Google Chrome","unilab/UI/mobile/headerMobile.spec.ts","","","","Отсутствие скролла страници при открытом бургер-меню в мобильной версии",""
"passed","Thu Nov 28 22:46:32 GMT 2024","Thu Nov 28 22:46:37 GMT 2024","5587","Google Chrome","unilab/UI/desktop/questionDoctor.spec.ts","","","","отображение подсказки поля ввода номера заказа вопрос доктору",""
"passed","Thu Nov 28 22:45:07 GMT 2024","Thu Nov 28 22:45:11 GMT 2024","3732","Google Chrome","unilab/UI/desktop/header.spec.ts","","","","Сброс результатов поиска города при закрытии попапа выбора города",""
"passed","Thu Nov 28 22:44:47 GMT 2024","Thu Nov 28 22:44:52 GMT 2024","5102","Google Chrome","unilab/UI/desktop/header.spec.ts","","","","Анимация изменения ширины поля ввода поиска при фокусе в десктопной версии",""
"passed","Thu Nov 28 22:40:38 GMT 2024","Thu Nov 28 22:40:43 GMT 2024","5406","chromium","unilab/UI/desktop/product.spec.ts","","","","Работа кнопки 'в корзину' внутри карточки услуги",""
"passed","Thu Nov 28 22:39:35 GMT 2024","Thu Nov 28 22:39:39 GMT 2024","3651","chromium","unilab/UI/desktop/header.spec.ts","","","","Сброс результатов поиска города при закрытии попапа выбора города",""
"passed","Thu Nov 28 22:42:09 GMT 2024","Thu Nov 28 22:42:14 GMT 2024","4647","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Отсутствие результата поиска города",""
"passed","Thu Nov 28 22:48:09 GMT 2024","Thu Nov 28 22:48:15 GMT 2024","5676","Google Chrome","unilab/UI/mobile/headerMobile.spec.ts","","","","негативное Отображение попапа результатов поиска",""
"passed","Thu Nov 28 22:40:25 GMT 2024","Thu Nov 28 22:40:29 GMT 2024","3662","chromium","unilab/UI/desktop/home.spec.ts","","","","Проверка точек слайдов на главной странице",""
"passed","Thu Nov 28 22:39:32 GMT 2024","Thu Nov 28 22:39:35 GMT 2024","3581","chromium","unilab/UI/desktop/header.spec.ts","","","","Отсутствие результата поиска города",""
"passed","Thu Nov 28 22:46:16 GMT 2024","Thu Nov 28 22:46:21 GMT 2024","5048","Google Chrome","unilab/UI/desktop/product.spec.ts","","","","Переключение табов на странице карточки мед. услуги",""
"passed","Thu Nov 28 22:40:22 GMT 2024","Thu Nov 28 22:40:25 GMT 2024","3597","chromium","unilab/UI/desktop/home.spec.ts","","","","кнопки переключение слайдов на главной странице",""
"passed","Thu Nov 28 22:48:15 GMT 2024","Thu Nov 28 22:48:21 GMT 2024","5753","Google Chrome","unilab/UI/mobile/productMobile.spec.ts","","","","Переключение табов при выборе результата в селектах на странице мед услуг",""
"passed","Thu Nov 28 22:41:18 GMT 2024","Thu Nov 28 22:41:26 GMT 2024","7185","chromium","unilab/UI/mobile/footerMobile.spec.ts","","","","Работа аккордеона в футтере в мобильной версии",""
"passed","Thu Nov 28 22:39:50 GMT 2024","Thu Nov 28 22:39:56 GMT 2024","5549","chromium","unilab/UI/desktop/header.spec.ts","","","","Отображение попапа результатов поиска при количестве введенных символов больше двух",""
"passed","Thu Nov 28 22:43:56 GMT 2024","Thu Nov 28 22:44:02 GMT 2024","6029","Google Chrome","unilab/UI/desktop/collection.spec.ts","","","","Работа кнопки 'в корзину' на странице 'анализы' в списке",""
"skipped","Thu Nov 28 22:45:50 GMT 2024","Thu Nov 28 22:45:50 GMT 2024","0","Google Chrome","unilab/UI/desktop/home.spec.ts","","","","Кнопка “вернуться наверх страницы” появляющаяся при скролле на десктопной версии",""
