"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 13:38:24 VLAT 2024","Wed Jul 31 13:38:37 VLAT 2024","13309","firefox","changePwd.spec.ts","","","","5. Новый пароль из латиницы и спецсимволов - !unilab@",""
"passed","Wed Jul 31 13:36:38 VLAT 2024","Wed Jul 31 13:36:43 VLAT 2024","4851","chromium","changePwd.spec.ts","","","","6. Новый пароль из кириллицы и спецсимволов - *юнилаб@",""
"failed","Wed Jul 31 13:37:56 VLAT 2024","Wed Jul 31 13:38:14 VLAT 2024","18381","firefox","changePwd.spec.ts","","","","2. Новый пароль из кириллицы - юнилабпароль",""
"passed","Wed Jul 31 13:40:02 VLAT 2024","Wed Jul 31 13:40:15 VLAT 2024","12998","webkit","changePwd.spec.ts","","","","6. Новый пароль из кириллицы и спецсимволов - *юнилаб@",""
"passed","Wed Jul 31 13:36:23 VLAT 2024","Wed Jul 31 13:36:31 VLAT 2024","7702","chromium","changePwd.spec.ts","","","","3. Новый пароль из латиницы и цифр - unilab115007",""
"passed","Wed Jul 31 13:39:36 VLAT 2024","Wed Jul 31 13:39:49 VLAT 2024","12867","webkit","changePwd.spec.ts","","","","2. Новый пароль из кириллицы - юнилабпароль",""
"failed","Wed Jul 31 13:36:31 VLAT 2024","Wed Jul 31 13:36:42 VLAT 2024","10535","chromium","changePwd.spec.ts","","","","5. Новый пароль из латиницы и спецсимволов - !unilab@",""
"broken","Wed Jul 31 13:36:50 VLAT 2024","Wed Jul 31 13:37:20 VLAT 2024","30037","chromium","unilab\test-3.spec.ts","","","","проверка меню в шапке и вкладок внутри вкладки",""
"broken","Wed Jul 31 13:39:10 VLAT 2024","Wed Jul 31 13:39:40 VLAT 2024","30028","firefox","unilab\test-4.spec.ts","","","","проверка слайдера",""
"passed","Wed Jul 31 13:36:30 VLAT 2024","Wed Jul 31 13:36:37 VLAT 2024","6796","chromium","changePwd.spec.ts","","","","4. Новый пароль из кириллицы и цифр - юнилаб115007",""
"failed","Wed Jul 31 13:39:45 VLAT 2024","Wed Jul 31 13:39:53 VLAT 2024","7313","webkit","changePwd.spec.ts","","","","3. Новый пароль из латиницы и цифр - unilab115007",""
"passed","Wed Jul 31 13:38:28 VLAT 2024","Wed Jul 31 13:38:35 VLAT 2024","6629","firefox","test-1.spec.ts","","","","Наличие полей ввода и кнопок для смены пароля",""
"passed","Wed Jul 31 13:36:11 VLAT 2024","Wed Jul 31 13:36:21 VLAT 2024","10237","chromium","changePwd.spec.ts","","","","2. Новый пароль из кириллицы - юнилабпароль",""
"passed","Wed Jul 31 13:36:46 VLAT 2024","Wed Jul 31 13:36:49 VLAT 2024","2700","chromium","test-1.spec.ts","","","","Наличие полей ввода и кнопок для смены пароля",""
"passed","Wed Jul 31 13:38:21 VLAT 2024","Wed Jul 31 13:38:28 VLAT 2024","7469","firefox","changePwd.spec.ts","","","","6. Новый пароль из кириллицы и спецсимволов - *юнилаб@",""
"passed","Wed Jul 31 13:37:28 VLAT 2024","Wed Jul 31 13:37:52 VLAT 2024","24523","firefox","changePwd.spec.ts","","","","1. Новый пароль из латиницы - unilabpass",""
"broken","Wed Jul 31 13:38:39 VLAT 2024","Wed Jul 31 13:39:09 VLAT 2024","30021","firefox","unilab\test-3.spec.ts","","","","проверка меню в шапке и вкладок внутри вкладки",""
"broken","Wed Jul 31 13:40:46 VLAT 2024","Wed Jul 31 13:41:16 VLAT 2024","30014","webkit","unilab\test-4.spec.ts","","","","проверка слайдера",""
"broken","Wed Jul 31 13:36:43 VLAT 2024","Wed Jul 31 13:37:13 VLAT 2024","30018","chromium","unilab\test-2.spec.ts","","","","проверка городов в шапке",""
"passed","Wed Jul 31 13:39:49 VLAT 2024","Wed Jul 31 13:40:02 VLAT 2024","12275","webkit","changePwd.spec.ts","","","","4. Новый пароль из кириллицы и цифр - юнилаб115007",""
"passed","Wed Jul 31 13:39:21 VLAT 2024","Wed Jul 31 13:39:35 VLAT 2024","14048","webkit","changePwd.spec.ts","","","","1. Новый пароль из латиницы - unilabpass",""
"broken","Wed Jul 31 13:37:18 VLAT 2024","Wed Jul 31 13:37:49 VLAT 2024","30503","chromium","unilab\test-4.spec.ts","","","","проверка слайдера",""
"broken","Wed Jul 31 13:40:36 VLAT 2024","Wed Jul 31 13:41:06 VLAT 2024","30047","webkit","unilab\test-3.spec.ts","","","","проверка меню в шапке и вкладок внутри вкладки",""
